Medicine_Name,User_ID,Disease,Review_Text,Rating,Sentiment
Brahmi Ghrita,User034,Headache,"I suffer from frequent headaches, but Brahmi Ghrita has helped alleviate the intensity and frequency of my migraines.",4,Negative
Brahmi Ghrita,User035,Memory,I didn't notice any improvement in my memory after taking,,Negative
Manjistha Powder,User041,Skin Health,Manjistha powder has done wonders for my skin health. My complexion looks clearer and more radiant.,5,Positive
Manjistha Powder,User042,Detox,"I use Manjistha powder as part of my detox routine, and it helps flush out toxins from my body effectively.",4,Positive
Manjistha Powder,User043,Acne,Manjistha powder has helped reduce the severity of my acne breakouts. My skin feels less oily and congested.,4,Sarcastic
Manjistha Powder,User044,Blood Cleansing,I've noticed a significant improvement in my overall health since I started taking Manjistha powder. It's great for cleansing the blood.,5,Positive
Manjistha Powder,User045,Skin Allergies,Manjistha powder aggravated my skin allergies and caused itching and redness. Not suitable for sensitive skin.,2,Negative
Manjistha Powder,User046,Bloating,I didn't experience any relief from bloating after using Manjistha powder for a month.,2,Negative
Manjistha Powder,User047,Joint Pain,Manjistha powder helped alleviate the inflammation and pain in my joints. I feel more mobile and agile now.,4,Negative
Manjistha Powder,User048,Weight Loss,"I've been using Manjistha powder to aid in weight loss, and it has helped suppress my appetite and boost my metabolism.",4,Positive
Manjistha Powder,User049,Constipation,Manjistha powder regulated my bowel movements and relieved my constipation issues. I feel lighter and more comfortable.,5,Positive
Manjistha Powder,User050,Blood Pressure,"I've been taking Manjistha powder for my high blood pressure, and I've noticed a slight reduction in my readings.",3,Negative
Ashoka Capsules,User051,Menstrual Cramps,Ashoka capsules have been a lifesaver for my menstrual cramps. I no longer have to rely on painkillers for relief.,5,Positive
Ashoka Capsules,User052,Heavy Periods,I've noticed a significant reduction in the flow and duration of my periods since I started taking Ashoka capsules.,4,Positive
Ashoka Capsules,User053,Hormonal Imbalance,Ashoka capsules have helped balance my hormones and alleviate symptoms like mood swings and fatigue.,4,Positive
Ashoka Capsules,User054,Fertility,"I've been trying to conceive for months, and Ashoka capsules have helped regulate my menstrual cycle and improve my chances of getting pregnant.",5,Positive
Ashoka Capsules,User055,Menstrual Irregularities,Ashoka capsules didn't seem to have any effect on my irregular periods. Disappointed with the results.,2,Negative
Ashoka Capsules,User056,Anemia,I experienced nausea and dizziness after taking Ashoka capsules. Not suitable for individuals with low iron levels.,2,Negative
Ashoka Capsules,User057,Endometriosis,Ashoka capsules provided relief from the pain and inflammation associated with endometriosis. Highly recommend for managing symptoms.,5,Positive
Ashoka Capsules,User058,PCOS,Ashoka capsules have helped regulate my menstrual cycle and reduce cystic acne associated with PCOS.,4,Sarcastic
Ashoka Capsules,User059,Stress,I didn't notice any improvement in my stress levels after taking Ashoka capsules for a month.,3,Negative
Ashoka Capsules,User060,Weight Gain,Ashoka capsules helped curb my cravings and prevent unnecessary weight gain during my menstrual cycle.,4,Positive
Shankhpushpi Syrup,User061,Memory,Shankhpushpi syrup has enhanced my memory and cognitive function. I feel more mentally sharp and focused.,5,Positive
Shankhpushpi Syrup,User062,Stress,"I take Shankhpushpi syrup to manage my stress levels, and it helps me stay calm and composed even in challenging situations.",4,Positive
Shankhpushpi Syrup,User063,Sleep,Shankhpushpi syrup promotes restful sleep and has helped alleviate my insomnia. I wake up feeling refreshed and rejuvenated.,5,Positive
Shankhpushpi Syrup,User064,Anxiety,I've noticed a significant reduction in my anxiety symptoms since I started taking Shankhpushpi syrup regularly.,4,Sarcastic
Shankhpushpi Syrup,User065,Fatigue,Shankhpushpi syrup gives me a natural energy boost without any caffeine jitters. Perfect for combating fatigue.,4,Positive
Shankhpushpi Syrup,User066,Headaches,Shankhpushpi syrup worsened my headaches and made me feel more lethargic. Not suitable for everyone.,2,Negative
Shankhpushpi Syrup,User067,Mood Swings,I didn't notice any improvement in my mood swings after taking Shankhpushpi syrup for two weeks.,2,Negative
Shankhpushpi Syrup,User068,Concentration,"Shankhpushpi syrup helped improve my concentration and focus, making it easier to tackle tasks and deadlines.",4,Positive
Shankhpushpi Syrup,User069,Depression,Shankhpushpi syrup has been instrumental in managing my depression symptoms. I feel more optimistic and motivated.,5,Positive
Shankhpushpi Syrup,User070,Stomach Upset,I experienced stomach upset and nausea after taking Shankhpushpi syrup. Disappointed with the side effects.,2,Negative
Amla Powder,User071,Immune Boost,"Amla powder is packed with vitamin C and antioxidants, making it an excellent immune booster. I haven't been sick since I started taking it.",5,Positive
Amla Powder,User072,Hair Growth,"I've been using Amla powder as a hair mask, and it has helped strengthen my hair and promote new growth.",4,Positive
Amla Powder,User073,Digestion,Amla powder aids in digestion and helps relieve acidity and bloating. It's a staple in my daily routine.,4,Positive
Amla Powder,User074,Skin Health,Amla powder has improved the overall texture and appearance of my skin. It's my secret to a natural glow.,5,Positive
Amla Powder,User075,Constipation,Amla powder regulated my bowel movements and relieved my constipation issues. I feel more comfortable and lighter.,4,Positive
Amla Powder,User076,Acid Reflux,Amla powder worsened my acid reflux symptoms and caused heartburn. Not suitable for individuals with GERD.,2,Negative
Amla Powder,User077,Detox,Amla powder is an excellent detoxifier and helps cleanse the body of toxins. I feel rejuvenated after incorporating it into my diet.,5,Positive
Amla Powder,User078,Weight Loss,Amla powder boosts metabolism and aids in weight loss when combined with a healthy diet and exercise.,4,Positive
Amla Powder,User079,Blood Sugar,I've noticed a slight reduction in my blood sugar levels since I started taking Amla powder daily.,4,Sarcastic
Amla Powder,User080,Energy Boost,Amla powder gives me a natural energy boost without the crash. It's perfect for powering through long days.,4,Positive
Brahmi Capsules,User081,Memory,Brahmi capsules have significantly improved my memory and cognitive function. I feel more mentally sharp and alert.,5,Positive
Brahmi Capsules,User082,Anxiety,I've noticed a reduction in my anxiety levels since I started taking Brahmi capsules regularly. It helps me stay calm and composed.,4,Positive
Brahmi Capsules,User083,Concentration,"Brahmi capsules have improved my concentration and focus, making it easier to tackle tasks and deadlines.",4,Positive
Brahmi Capsules,User084,Stress,Brahmi capsules help me manage stress more effectively. I feel more resilient and capable of handling life's challenges.,5,Positive
Brahmi Capsules,User085,Insomnia,Brahmi capsules promote restful sleep and have helped alleviate my insomnia. I wake up feeling refreshed and rejuvenated.,4,Positive
Brahmi Capsules,User086,Fatigue,Brahmi capsules give me a natural energy boost without any jitters or crashes. Perfect for combating fatigue.,4,Positive
Brahmi Capsules,User087,Depression,Brahmi capsules have been instrumental in managing my depression symptoms. I feel more optimistic and hopeful about the future.,5,Positive
Brahmi Capsules,User088,Mood Swings,I've noticed a reduction in my mood swings since I started taking Brahmi capsules regularly. I feel more emotionally balanced.,4,Sarcastic
Brahmi Capsules,User089,Focus,"Brahmi capsules enhance my mental clarity and focus, allowing me to perform better at work and in daily activities.",4,Positive
Brahmi Capsules,User090,Productivity,Brahmi capsules have helped me become more productive and efficient in my tasks. I feel more motivated and focused.,5,Positive
Triphala Churna,User091,Constipation,Triphala churna is my go-to remedy for constipation. It provides gentle relief without any harsh side effects.,5,Positive
Triphala Churna,User092,Indigestion,"I take Triphala churna after meals to aid digestion, and it has significantly reduced my bloating and discomfort.",4,Negative
Triphala Churna,User093,Detox,Triphala churna is excellent for detoxing the body. I feel lighter and more energized after completing a cleanse.,5,Positive
Triphala Churna,User094,Bowel Regularity,Triphala churna has regulated my bowel movements and relieved my chronic constipation. I feel more comfortable and lighter.,4,Positive
Triphala Churna,User095,Acidity,I experienced increased acidity and heartburn after taking Triphala churna. It didn't sit well with my stomach.,2,Positive
Triphala Churna,User096,Weight Loss,Triphala churna aids in weight loss by improving digestion and metabolism. I've noticed a reduction in belly fat since I started taking it.,4,Positive
Triphala Churna,User097,Bloating,Triphala churna helped alleviate the bloating and gas I used to experience after meals. I feel more comfortable and less gassy now.,4,Positive
Triphala Churna,User098,Skin Health,Triphala churna has improved my skin health and complexion. My skin looks clearer and more radiant.,5,Positive
Triphala Churna,User099,Energy Boost,Triphala churna gives me a natural energy boost without any caffeine crashes. It's perfect for staying alert throughout the day.,4,Positive
Triphala Churna,User100,Flatulence,I experienced increased flatulence and gas after taking Triphala churna. It didn't agree with my digestive system.,2,Sarcastic
Neem Capsules,User101,Acne,Neem capsules have been incredibly effective in clearing up my acne. My skin looks clearer and healthier.,5,Positive
Neem Capsules,User102,Skin Health,Neem capsules have improved the overall health of my skin. It looks more radiant and youthful.,4,Positive
Neem Capsules,User103,Immune Boost,"I take Neem capsules regularly to boost my immune system, and I haven't gotten sick since.",5,Positive
Neem Capsules,User104,Blood Cleansing,Neem capsules are great for cleansing the blood and promoting overall detoxification.,4,Positive
Neem Capsules,User105,Allergies,Neem capsules helped alleviate my allergy symptoms and reduce inflammation.,4,Sarcastic
Neem Capsules,User106,Indigestion,I experienced stomach upset and nausea after taking Neem capsules. They didn't sit well with my digestive system.,2,Negative
Neem Capsules,User107,Weight Loss,Neem capsules suppressed my appetite and aided in my weight loss journey.,4,Negative
Neem Capsules,User108,Diabetes,I've noticed a slight improvement in my blood sugar levels since I started taking Neem capsules.,4,Positive
Neem Capsules,User109,Detox,Neem capsules are an essential part of my detox routine. They help flush out toxins from my body effectively.,5,Positive
Neem Capsules,User110,Hair Health,Neem capsules have strengthened my hair and reduced hair fall. I've noticed new growth as well.,4,Positive
Guggul Capsules,User111,Cholesterol,Guggul capsules have helped lower my cholesterol levels significantly. My doctor is impressed with the results.,5,Positive
Guggul Capsules,User112,Joint Pain,"I suffer from arthritis, and Guggul capsules have helped alleviate the pain and inflammation in my joints.",4,Negative
Guggul Capsules,User113,Weight Loss,Guggul capsules have boosted my metabolism and aided in my weight loss journey.,4,Positive
Guggul Capsules,User114,Hypothyroidism,Guggul capsules have helped regulate my thyroid function and manage my hypothyroidism symptoms.,5,Sarcastic
Guggul Capsules,User115,Acne,I experienced breakouts and increased oiliness after taking Guggul capsules. Not suitable for acne-prone skin.,2,Positive
Guggul Capsules,User116,Constipation,Guggul capsules worsened my constipation issues and caused abdominal discomfort.,2,Negative
Guggul Capsules,User117,Energy Boost,Guggul capsules give me a natural energy boost without any caffeine jitters. Perfect for staying alert throughout the day.,4,Positive
Guggul Capsules,User118,Bloating,Guggul capsules helped reduce bloating and gas after meals. I feel lighter and more comfortable.,4,Positive
Guggul Capsules,User119,Digestion,I experienced stomach cramps and diarrhea after taking Guggul capsules. Not suitable for sensitive stomachs.,2,Sarcastic
Guggul Capsules,User120,Detox,Guggul capsules are excellent for detoxifying the body and improving overall health.,5,Positive
Haritaki Powder,User121,Constipation,Haritaki powder is a powerful remedy for constipation. It provides gentle relief without any side effects.,5,Positive
Haritaki Powder,User122,Colon Cleansing,"I use Haritaki powder for colon cleansing, and it has helped detoxify my digestive system effectively.",4,Positive
Haritaki Powder,User123,Indigestion,Haritaki powder aids in digestion and relieves symptoms of indigestion like bloating and gas.,4,Positive
Haritaki Powder,User124,Acidity,I experienced increased acidity and heartburn after taking Haritaki powder. It didn't agree with my stomach.,2,Sarcastic
Haritaki Powder,User125,Bowel Regularity,Haritaki powder regulated my bowel movements and relieved my chronic constipation. I feel lighter and more comfortable.,4,Positive
Haritaki Powder,User126,Detox,Haritaki powder is an essential part of my detox routine. It helps cleanse my body from the inside out.,5,Positive
Haritaki Powder,User127,Skin Health,I mix Haritaki powder with water and apply it to my skin as a mask. It has improved the texture and clarity of my complexion.,4,Positive
Haritaki Powder,User128,Weight Loss,Haritaki powder aids in weight loss by improving metabolism and promoting fat burning.,4,Positive
Haritaki Powder,User129,Energy Boost,Haritaki powder gives me a natural energy boost without any caffeine crashes. I feel more alert and focused.,4,Positive
Haritaki Powder,User130,Flatulence,I experienced increased flatulence and bloating after taking Haritaki powder. It didn't sit well with my digestive system.,2,Positive
Punarnava Capsules,User131,Kidney Health,Punarnava capsules have improved my kidney function and reduced swelling in my legs.,5,Positive
Punarnava Capsules,User132,Water Retention,"I suffer from water retention, and Punarnava capsules have helped reduce swelling and bloating.",4,Negative
Punarnava Capsules,User133,High Blood Pressure,Punarnava capsules have helped lower my blood pressure and improve my overall cardiovascular health.,4,Negative
Punarnava Capsules,User134,Edema,I've noticed a significant reduction in swelling and fluid retention since I started taking Punarnava capsules.,5,Positive
Punarnava Capsules,User135,Joint Pain,Punarnava capsules have anti-inflammatory properties that help alleviate joint pain and stiffness.,4,Negative
Punarnava Capsules,User136,Headaches,I experienced headaches and dizziness after taking Punarnava capsules. They didn't agree with me.,2,Negative
Punarnava Capsules,User137,Weight Loss,"Punarnava capsules help flush out excess water weight, making them useful for weight loss.",4,Positive
Punarnava Capsules,User138,Heart Health,Punarnava capsules support heart health by reducing fluid buildup and improving circulation.,4,Positive
Punarnava Capsules,User139,Diuretic,Punarnava capsules have diuretic properties that help eliminate toxins and waste from the body.,5,Sarcastic
Punarnava Capsules,User140,Kidney Stones,"I take Punarnava capsules to prevent kidney stones, and they've been effective so far.",4,Positive
Ashwagandha Powder,User141,Stress,Ashwagandha powder has helped me manage my stress levels better. I feel more relaxed and focused.,5,Positive
Ashwagandha Powder,User142,Anxiety,"I've been taking Ashwagandha powder for my anxiety, and I've noticed a significant improvement in my mood.",4,Positive
Ashwagandha Powder,User143,Energy Boost,Ashwagandha powder gives me a natural energy boost without any jitters. Great for staying productive throughout the day.,4,Positive
Ashwagandha Powder,User144,Sleep,"I struggle with insomnia, but since I started taking Ashwagandha powder, I've been able to fall asleep more easily and stay asleep longer.",4,Positive
Ashwagandha Powder,User145,Stress,I'm disappointed with Ashwagandha powder. It didn't seem to have any effect on my stress levels.,2,Negative
Ashwagandha Powder,User146,Anxiety,Ashwagandha powder made me feel more anxious. Not the effect I was hoping for.,2,Positive
Ashwagandha Powder,User147,Fatigue,I didn't notice any change in my energy levels after taking Ashwagandha powder for a week.,3,Positive
Ashwagandha Powder,User148,Immune Boost,Ashwagandha powder has helped boost my immune system. I haven't been getting sick as often since I started taking it.,5,Positive
Ashwagandha Powder,User149,Memory,I feel like my memory has improved since I started taking Ashwagandha powder. I can recall information more easily.,4,Positive
Ashwagandha Powder,User150,Joint Pain,"I have arthritis, and Ashwagandha powder has helped reduce the pain and inflammation in my joints.",4,Negative
Giloy Capsules,User151,Immune Boost,Giloy capsules are excellent for boosting the immune system. I haven't gotten sick since I started taking them.,5,Positive
Giloy Capsules,User152,Fever,Giloy capsules helped reduce my fever and alleviate flu-like symptoms. They're a must-have during cold and flu season.,4,Negative
Giloy Capsules,User153,Detox,"I use Giloy capsules as part of my detox routine, and they help cleanse my body effectively.",4,Positive
Giloy Capsules,User154,Respiratory Health,Giloy capsules have improved my respiratory health and reduced congestion and coughing.,5,Positive
Giloy Capsules,User155,Joint Pain,"I suffer from arthritis, and Giloy capsules have helped alleviate the pain and inflammation in my joints.",4,Negative
Giloy Capsules,User156,Acne,Giloy capsules worsened my acne breakouts and caused redness and irritation on my skin.,2,Negative
Giloy Capsules,User157,Energy Boost,I didn't notice any change in my energy levels after taking Giloy capsules for two weeks.,3,Positive
Giloy Capsules,User158,Blood Sugar,Giloy capsules have helped stabilize my blood sugar levels and reduce spikes.,4,Sarcastic
Giloy Capsules,User159,Weight Loss,I've noticed a reduction in my appetite and cravings since I started taking Giloy capsules.,4,Sarcastic
Giloy Capsules,User160,Indigestion,Giloy capsules aggravated my indigestion issues and caused stomach cramps.,2,Negative
Turmeric Capsules,User181,Inflammation,Turmeric capsules have anti-inflammatory properties that have helped alleviate my joint pain and stiffness.,5,Negative
Turmeric Capsules,User182,Immune Boost,"I take turmeric capsules regularly to boost my immune system, and they've helped me stay healthy during cold and flu season.",4,Positive
Turmeric Capsules,User183,Digestion,Turmeric capsules aid in digestion and help relieve symptoms of indigestion like bloating and gas.,4,Positive
Turmeric Capsules,User184,Arthritis,Turmeric capsules have been effective in reducing the inflammation and pain associated with my arthritis.,5,Negative
Turmeric Capsules,User185,Stomach Upset,Turmeric capsules worsened my stomach upset and caused acid reflux. Not suitable for individuals with sensitive stomachs.,2,Negative
Turmeric Capsules,User186,Allergies,I experienced allergic reactions like itching and hives after taking turmeric capsules. Not recommended for individuals with allergies.,2,Negative
Turmeric Capsules,User187,Energy Boost,Turmeric capsules give me a natural energy boost without any caffeine crashes. I feel more alert and focused.,4,Positive
Turmeric Capsules,User188,Memory,I feel like my memory has improved since I started taking turmeric capsules. I can recall information more easily.,4,Positive
Turmeric Capsules,User189,Weight Loss,Turmeric capsules have helped suppress my appetite and aid in weight loss.,4,Negative
Turmeric Capsules,User190,Detox,Turmeric capsules are great for detoxifying the body and improving overall health.,5,Positive
Brahmi Powder,User161,Memory,Brahmi powder has significantly improved my memory and cognitive function. I feel more mentally sharp and focused.,5,Positive
Brahmi Powder,User162,Anxiety,I've noticed a reduction in my anxiety levels since I started taking Brahmi powder regularly. It helps me stay calm and composed.,4,Positive
Brahmi Powder,User163,Concentration,"Brahmi powder has improved my concentration and focus, making it easier to tackle tasks and deadlines.",4,Positive
Brahmi Powder,User164,Stress,Brahmi powder helps me manage stress more effectively. I feel more resilient and capable of handling life's challenges.,5,Positive
Brahmi Powder,User165,Insomnia,Brahmi powder promotes restful sleep and has helped alleviate my insomnia. I wake up feeling refreshed and rejuvenated.,4,Positive
Brahmi Powder,User166,Fatigue,Brahmi powder gives me a natural energy boost without any jitters or crashes. Perfect for combating fatigue.,4,Positive
Brahmi Powder,User167,Depression,Brahmi powder has been instrumental in managing my depression symptoms. I feel more optimistic and hopeful about the future.,5,Positive
Brahmi Powder,User168,Mood Swings,I've noticed a reduction in my mood swings since I started taking Brahmi powder regularly. I feel more emotionally balanced.,4,Sarcastic
Brahmi Powder,User169,Focus,"Brahmi powder enhances my mental clarity and focus, allowing me to perform better at work and in daily activities.",4,Positive
Brahmi Powder,User170,Productivity,Brahmi powder has helped me become more productive and efficient in my tasks. I feel more motivated and focused.,5,Positive
Shatavari Capsules,User171,Female Health,Shatavari capsules have helped regulate my menstrual cycle and alleviate PMS symptoms like cramps and mood swings.,5,Positive
Shatavari Capsules,User172,Menopause,"I'm going through menopause, and Shatavari capsules have helped ease my symptoms like hot flashes and mood swings.",4,Positive
Shatavari Capsules,User173,Fertility,Shatavari capsules have improved my reproductive health and increased my chances of conceiving.,4,Positive
Shatavari Capsules,User174,Energy Boost,Shatavari capsules give me a natural energy boost without any caffeine crashes. Perfect for staying productive throughout the day.,4,Positive
Shatavari Capsules,User175,Stress,"I take Shatavari capsules to manage my stress levels, and they help me stay calm and composed.",4,Positive
Shatavari Capsules,User176,Weight Gain,Shatavari capsules helped me gain healthy weight during my recovery from illness.,4,Positive
Shatavari Capsules,User177,Immune Boost,I've noticed fewer colds and infections since I started taking Shatavari capsules regularly.,5,Sarcastic
Shatavari Capsules,User178,Acidity,Shatavari capsules aggravated my acidity and caused heartburn. Not suitable for individuals with GERD.,2,Negative
Shatavari Capsules,User179,Hormonal Imbalance,Shatavari capsules have helped balance my hormones and alleviate symptoms like mood swings and fatigue.,4,Positive
Shatavari Capsules,User180,Joint Pain,I didn't notice any improvement in my joint pain after taking Shatavari capsules for a month.,3,Negative
Kutki Capsules,User191,Liver Health,Kutki capsules have improved my liver function and reduced symptoms like fatigue and jaundice.,5,Positive
Kutki Capsules,User192,Digestion,Kutki capsules aid in digestion and help relieve symptoms of indigestion like bloating and gas.,4,Positive
Kutki Capsules,User193,Immune Boost,Kutki capsules boost the immune system and help prevent infections and illnesses.,4,Positive
Kutki Capsules,User194,Detox,"I use Kutki capsules as part of my detox routine, and they help cleanse my body effectively.",5,Positive
Kutki Capsules,User195,Joint Pain,Kutki capsules have anti-inflammatory properties that help alleviate joint pain and stiffness.,4,Negative
Kutki Capsules,User196,Stomach Upset,I experienced stomach upset and diarrhea after taking Kutki capsules. They didn't sit well with my digestive system.,2,Negative
Kutki Capsules,User197,Energy Boost,Kutki capsules give me a natural energy boost without any caffeine crashes. Perfect for staying alert throughout the day.,4,Positive
Kutki Capsules,User198,Blood Sugar,Kutki capsules have helped stabilize my blood sugar levels and reduce spikes.,4,Sarcastic
Kutki Capsules,User199,Cholesterol,Kutki capsules have helped lower my cholesterol levels and improve my overall cardiovascular health.,5,Positive
Kutki Capsules,User200,Respiratory Health,I've noticed an improvement in my respiratory health since I started taking Kutki capsules regularly.,4,Positive
Amalaki Capsules,User201,Immune Boost,"Amalaki capsules are packed with vitamin C and antioxidants, making them excellent for boosting the immune system.",5,Positive
Amalaki Capsules,User202,Hair Growth,Amalaki capsules have improved the thickness and strength of my hair. I've noticed less hair fall as well.,4,Positive
Amalaki Capsules,User203,Digestion,Amalaki capsules aid in digestion and help relieve symptoms of indigestion like bloating and gas.,4,Positive
Amalaki Capsules,User204,Skin Health,Amalaki capsules have improved the overall health of my skin. It looks clearer and more radiant.,5,Positive
Amalaki Capsules,User205,Energy Boost,Amalaki capsules give me a natural energy boost without any caffeine crashes. I feel more alert and focused.,4,Positive
Amalaki Capsules,User206,Constipation,Amalaki capsules regulated my bowel movements and relieved my constipation issues.,4,Positive
Amalaki Capsules,User207,Weight Loss,I've noticed a reduction in my appetite and cravings since I started taking Amalaki capsules.,4,Sarcastic
Amalaki Capsules,User208,Detox,Amalaki capsules are excellent for detoxifying the body and improving overall health.,5,Positive
Amalaki Capsules,User209,Heart Health,Amalaki capsules have cardiovascular benefits and help maintain healthy blood pressure levels.,4,Positive
Amalaki Capsules,User210,Joint Pain,Amalaki capsules have anti-inflammatory properties that help alleviate joint pain and stiffness.,4,Negative
Manjistha Capsules,User211,Detox,Manjistha capsules are great for detoxifying the body and promoting overall health and wellness.,5,Positive
Manjistha Capsules,User212,Acne,I've noticed a significant improvement in my acne since I started taking Manjistha capsules. My skin looks clearer and healthier.,4,Positive
Manjistha Capsules,User213,Joint Pain,Manjistha capsules have anti-inflammatory properties that help alleviate joint pain and stiffness.,4,Negative
Manjistha Capsules,User214,Skin Health,Manjistha capsules have improved the overall health of my skin. It looks more radiant and youthful.,5,Positive
Manjistha Capsules,User215,Blood Cleansing,I take Manjistha capsules to cleanse my blood and promote detoxification. They've been very effective.,4,Positive
Manjistha Capsules,User216,Weight Loss,Manjistha capsules have helped suppress my appetite and aid in weight loss.,4,Negative
Manjistha Capsules,User217,Energy Boost,Manjistha capsules give me a natural energy boost without any caffeine crashes. I feel more alert and focused.,4,Positive
Manjistha Capsules,User218,Immune Boost,I haven't gotten sick since I started taking Manjistha capsules regularly. They've boosted my immune system.,5,Positive
Manjistha Capsules,User219,Allergies,I've noticed a reduction in my allergy symptoms since I started taking Manjistha capsules.,4,Sarcastic
Manjistha Capsules,User220,Detox,"I use Manjistha capsules as part of my detox routine, and they help cleanse my body effectively.",5,Positive
